comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 106.4 bar,
custom_variables:,
x_values,106.4
200,75
200.1,75
200.2,75
200.3,75
200.4,75
200.4,75
200.6,75
200.6,75
200.7,75
200.8,75
200.9,75
201,75
201,75
201.1,75
201.2,75
201.3,75
201.4,75
201.4,75
201.6,75
201.6,75
201.7,75
201.8,75
201.9,75
202,75
202.1,75
202.1,75
202.2,75
202.3,75
202.4,75
202.4,75
202.6,75
202.6,75
202.7,75
202.8,75
202.9,75
203,75
203,75
203.1,75
203.2,75
203.3,75
203.4,75
203.4,75
203.6,75
203.6,75
203.7,75
203.8,75
203.9,75
204,75
204,75
204.1,75
204.2,75
204.3,75
204.4,75
204.4,75
204.6,75
204.7,75
204.7,75
204.8,75
204.9,75
205,75
205.1,75
205.1,75
205.3,75
205.3,75
205.4,75
205.4,75
205.6,75
205.6,75
205.7,75
205.8,75
205.9,75
206,75
206,75
206.1,75
206.3,75
206.3,75
206.4,75
206.5,75
206.6,75
206.7,75
206.8,75
206.8,75
206.9,75
207,75
207.1,75
207.1,75
207.2,75
207.3,75
207.4,75
207.5,75
207.5,75
207.7,75
207.7,75
207.8,75
207.9,75
208,75
208.1,75
208.2,75
208.2,75
208.4,75
208.4,75
208.5,75
208.6,75
208.7,75
208.8,75
208.8,75
208.9,75
209,75
209.1,75
209.1,75
209.2,75
209.3,75
209.4,75
209.5,75
209.5,75
209.7,75
209.7,75
209.8,75
209.9,75
210,75
210.1,75
210.1,75
210.2,75
210.3,75
210.4,75
210.5,75
210.5,75
210.7,75
210.7,75
210.8,75
210.9,75
211,75
211.1,75
211.1,75
211.2,75
211.3,75
211.4,75
211.5,75
211.6,75
211.7,75
211.8,75
211.9,75
211.9,75
212,75
212.1,75
212.2,75
212.2,75
212.3,75
212.4,75
212.4,75
212.5,75
212.7,75
212.7,75
212.8,75
212.8,75
213,75
213.1,75
213.1,75
213.2,75
213.3,75
213.4,75
213.5,75
213.5,75
213.7,75
213.7,75
213.8,75
213.9,75
214,75
214.1,75
214.1,75
214.2,75
214.3,75
214.4,75
214.5,75
214.5,75
214.7,75
214.7,75
214.8,75
214.9,75
215,75
215,75
215.1,75
215.1,75
215.3,75
215.3,75
215.4,75
215.5,75
215.6,75
215.7,75
215.8,75
215.8,75
216,75
216,75
216.1,75
216.2,75
216.3,75
216.4,75
216.4,75
216.5,75
216.6,75
216.7,75
216.8,75
216.8,75
216.9,75
217,75
217.1,75
217.1,75
217.3,75
217.3,75
217.4,75
217.4,75
217.6,75
217.6,75
217.7,75
217.8,75
217.9,75
218,75
218,75
218.1,75
218.2,75
218.3,75
218.4,75
218.4,75
218.6,75
218.6,75
218.7,75
218.8,75
218.9,75
218.9,75
219,75
219.1,75
219.2,75
219.3,75
219.3,75
219.4,75
219.5,75
219.6,75
219.7,75
219.7,75
219.9,75
219.9,75
220,75
220.1,75
220.2,75
220.3,75
220.3,75
220.4,75
220.5,75
220.6,75
220.7,75
220.7,75
220.9,75
220.9,75
221,75
221.1,75
221.2,75
221.3,75
221.3,75
221.4,75
221.5,75
221.6,75
221.6,75
221.7,75
221.8,75
221.9,75
221.9,75
222,75
222.1,75
222.2,75
222.3,75
222.3,75
222.5,75
222.5,75
222.6,75
222.7,75
222.8,75
222.9,75
222.9,75
223,75
223.1,75
223.2,75
223.3,75
223.3,75
223.4,75
223.5,75
223.6,75
223.7,75
223.7,75
223.9,75
223.9,75
