comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 51.3 bar,
custom_variables:,
x_values,51.3
200,64
200.1,64
200.1,64
200.3,64
200.3,64
200.4,64
200.5,64
200.6,64
200.7,64
200.7,64
200.8,64
200.9,64
201,64
201.1,64
201.1,64
201.2,64
201.3,64
201.4,64
201.4,64
201.6,64
201.6,64
201.7,64
201.7,64
201.9,64
202,64
202,64
202.1,64
202.3,64
202.3,64
202.4,64
202.5,64
202.6,64
202.7,64
202.7,64
202.8,64
202.9,64
203,64
203.1,64
203.1,64
203.3,64
203.3,64
203.4,64
203.5,64
203.6,64
203.7,64
203.7,64
203.8,64
203.9,64
204,64
204.1,64
204.1,64
204.3,64
204.3,64
204.4,64
204.5,64
204.6,64
204.7,64
204.7,64
204.8,64
204.9,64
205,64
205.1,64
205.1,64
205.3,64
205.3,64
205.4,64
205.5,64
205.6,64
205.7,64
205.7,64
205.8,64
205.9,64
206,64
206,64
206.1,64
206.2,64
206.3,64
206.4,64
206.5,64
206.6,64
206.7,64
206.7,64
206.8,64
206.9,64
207,64
207.1,64
207.1,64
207.2,64
207.3,64
207.4,64
207.5,64
207.6,64
207.6,64
207.7,64
207.8,64
207.9,64
208,64
208,64
208.1,64
208.2,64
208.3,64
208.4,64
208.4,64
208.5,64
208.6,64
208.7,64
208.7,64
208.9,64
209,64
209,64
209.1,64
209.2,64
209.3,64
209.4,64
209.4,64
209.6,64
209.6,64
209.7,64
209.8,64
209.9,64
210,64
210.1,64
210.1,64
210.2,64
210.3,64
210.4,64
210.4,64
210.5,64
210.6,64
210.7,64
210.8,64
210.9,64
210.9,64
211.1,64
211.1,64
211.2,64
211.3,64
211.4,64
211.5,64
211.5,64
211.6,64
211.8,64
211.8,64
211.9,64
212,64
212.1,64
212.2,64
212.2,64
212.3,64
212.4,64
212.5,64
212.6,64
212.6,64
212.8,63
212.8,64
212.9,64
213,64
213.1,63
213.2,63
213.2,64
213.3,64
213.5,63
213.5,64
213.6,63
213.7,64
213.8,64
213.9,63
213.9,64
214,64
214.1,64
214.2,64
214.2,64
214.3,64
214.4,63
214.5,63
214.6,63
214.6,64
214.8,63
214.8,63
214.9,63
215,63
215.1,63
215.2,63
215.2,63
215.3,64
215.5,63
215.5,63
215.6,63
215.7,63
215.8,63
215.9,63
215.9,64
216,64
216.2,63
216.2,63
216.3,63
216.4,63
216.5,63
216.6,63
216.6,63
216.7,63
216.8,63
216.9,63
216.9,64
217,64
217.1,63
217.2,63
217.3,63
217.3,63
217.5,63
217.6,63
217.6,63
217.7,63
217.8,63
217.9,63
218,63
218,63
218.2,63
218.3,63
218.3,63
218.4,63
218.5,63
218.6,63
218.7,63
218.7,63
218.9,63
218.9,63
219,63
219.1,63
219.2,63
219.3,63
219.3,63
219.4,63
219.5,63
219.6,63
219.7,63
219.7,63
219.9,63
219.9,63
220,63
220,63
220.2,63
220.3,63
220.3,63
220.4,63
220.5,63
220.6,63
220.7,63
220.7,63
220.9,63
220.9,63
221,63
221.1,63
221.2,63
221.3,63
221.4,63
221.4,63
221.5,63
221.6,63
221.7,63
221.8,63
221.9,63
222,63
222,63
222.1,63
222.2,63
222.3,63
222.4,63
222.4,63
222.6,63
222.6,63
222.7,63
222.8,63
222.9,63
223,63
223,63
223.1,63
223.2,63
223.3,63
223.3,63
223.4,63
223.5,63
223.6,63
223.6,63
223.7,63
223.8,63
223.9,63
224,63
224,63
224.2,63
224.2,63
