comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 269.6 bar,
custom_variables:,
x_values,269.6
200,106
200.1,106
200.2,106
200.3,106
200.3,106
200.5,106
200.5,106
200.6,106
200.6,106
200.8,106
200.9,106
200.9,106
201,106
201.1,106
201.2,106
201.3,106
201.3,106
201.5,106
201.5,106
201.6,106
201.6,106
201.8,106
201.8,106
201.9,106
202,106
202.1,106
202.2,106
202.2,106
202.3,106
202.4,106
202.5,106
202.6,106
202.6,106
202.8,106
202.8,106
202.9,106
202.9,106
203.1,106
203.2,106
203.2,106
203.3,106
203.4,106
203.5,106
203.5,106
203.6,106
203.7,106
203.8,106
203.9,106
203.9,106
204,106
204.1,106
204.2,106
204.3,106
204.3,106
204.5,106
204.5,106
204.6,106
204.7,106
204.8,106
204.9,106
204.9,106
205,106
205.1,106
205.2,106
205.2,106
205.3,106
205.5,106
205.5,106
205.6,106
205.7,106
205.8,106
205.8,106
205.9,106
206,106
206.1,106
206.2,106
206.3,106
206.3,106
206.4,106
206.5,106
206.6,106
206.6,106
206.8,106
206.8,106
206.9,106
207,106
207.1,106
207.1,106
207.2,106
207.2,106
207.4,106
207.4,106
207.5,106
207.6,106
207.7,106
207.8,106
207.9,106
207.9,106
208,106
208.1,106
208.2,106
208.2,106
208.4,106
208.4,106
208.5,106
208.6,106
208.7,106
208.8,106
208.8,106
208.9,106
209,106
209.1,106
209.2,106
209.2,106
209.3,106
209.4,106
209.5,106
209.5,106
209.7,106
209.8,106
209.8,106
209.9,106
210,106
210.1,106
210.1,106
210.2,106
210.3,106
210.4,106
210.5,106
210.6,106
210.7,106
210.7,106
210.8,106
210.9,106
211,106
211.1,106
211.1,106
211.2,106
211.3,106
211.4,106
211.5,106
211.5,106
211.7,106
211.7,106
211.8,106
211.9,106
212,106
212,106
212.1,106
212.2,106
212.3,106
212.4,106
212.4,106
212.6,106
212.6,106
212.7,106
212.8,106
212.9,106
212.9,106
213,106
213.1,106
213.2,106
213.3,106
213.3,106
213.4,106
213.5,106
213.6,106
213.7,106
213.7,106
213.9,106
213.9,106
214,106
214,106
214.2,106
214.2,106
214.3,106
214.4,106
214.5,106
214.6,106
214.6,106
214.7,106
214.8,106
214.9,106
215,106
215,106
215.1,106
215.2,106
215.3,106
215.4,106
215.4,106
215.6,106
215.6,106
215.7,106
215.8,106
215.9,106
216,106
216,106
216.1,106
216.2,106
216.3,106
216.3,106
216.4,106
216.5,106
216.6,106
216.7,106
216.7,106
216.9,106
216.9,106
217,106
217.1,106
217.2,106
217.3,106
217.3,106
217.4,106
217.5,106
217.6,106
217.7,106
217.7,106
217.8,106
217.9,106
218,106
218,106
218.2,106
218.2,106
218.3,106
218.4,106
218.5,106
218.6,106
218.6,106
218.7,106
218.8,106
218.9,106
218.9,106
219,106
219.1,106
219.2,106
219.3,106
219.3,106
219.4,106
219.5,106
219.6,106
219.6,106
219.8,106
219.8,106
219.9,106
220,106
220.1,106
220.1,106
220.2,106
220.3,106
220.4,106
220.5,106
220.5,106
220.6,106
220.7,106
220.8,106
220.9,106
220.9,106
221.1,106
221.1,106
221.2,106
221.3,106
221.4,106
221.5,106
221.5,106
221.6,106
221.8,106
221.8,106
221.9,106
221.9,106
222.1,106
222.1,106
222.2,106
222.3,106
222.4,106
222.5,106
222.5,106
222.6,106
222.7,106
222.8,106
222.9,106
222.9,106
223,106
223.1,106
223.2,106
223.2,106
223.4,106
223.4,106
