comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 20.4 bar,
custom_variables:,
x_values,20.4
200,44
200.1,44
200.1,44
200.2,44
200.3,44
200.4,44
200.5,44
200.6,44
200.6,44
200.8,44
200.8,44
200.9,44
201,44
201.1,44
201.2,44
201.2,44
201.3,44
201.4,44
201.5,44
201.5,44
201.6,44
201.7,44
201.8,44
201.9,44
202,44
202.1,44
202.2,44
202.2,44
202.3,44
202.4,44
202.5,44
202.6,44
202.6,44
202.8,44
202.8,44
202.9,44
203,44
203.1,44
203.2,44
203.2,44
203.3,44
203.4,44
203.5,44
203.6,44
203.6,44
203.8,44
203.8,44
203.9,44
204,44
204.1,44
204.2,44
204.2,44
204.3,44
204.4,44
204.5,44
204.6,44
204.6,44
204.8,44
204.9,44
204.9,44
205,44
205.1,44
205.2,44
205.3,44
205.3,44
205.5,44
205.5,44
205.6,44
205.7,44
205.8,44
205.9,44
205.9,44
206,44
206.1,44
206.2,44
206.3,44
206.3,44
206.5,44
206.5,44
206.6,44
206.7,44
206.8,44
206.9,44
206.9,44
207,44
207.2,44
207.2,44
207.3,44
207.4,44
207.4,44
207.6,44
207.6,44
207.7,44
207.8,44
207.9,44
208,44
208,44
208.1,44
208.2,44
208.3,44
208.3,44
208.4,44
208.5,44
208.6,44
208.7,44
208.7,44
208.9,44
209,44
209,44
209.1,44
209.2,44
209.3,44
209.4,44
209.4,44
209.6,44
209.6,44
209.7,44
209.8,44
209.9,44
210,44
210,44
210.1,44
210.2,44
210.3,44
210.4,44
210.4,44
210.6,44
210.6,44
210.7,44
210.8,44
210.9,44
211,44
211,44
211.1,44
211.3,44
211.3,44
211.4,44
211.5,44
211.6,44
211.7,44
211.7,44
211.8,44
211.9,44
212,44
212.1,44
212.1,44
212.3,44
212.3,44
212.4,44
212.5,44
212.6,44
212.7,44
212.8,44
212.8,44
213,44
213,44
213.1,44
213.2,44
213.3,44
213.4,44
213.4,44
213.5,44
213.6,44
213.7,44
213.8,44
213.8,44
214,44
214,44
214.1,44
214.2,44
214.3,44
214.4,44
214.5,44
214.5,44
214.6,44
214.7,44
214.8,44
214.8,44
215,44
215,44
215.1,44
215.2,44
215.3,44
215.4,44
215.5,44
215.5,44
215.7,44
215.8,44
215.8,44
215.9,44
216,44
216.1,44
216.1,44
216.2,44
216.3,44
216.4,44
216.5,44
216.5,44
216.7,43
216.7,44
216.8,44
216.9,43
217,44
217.1,43
217.2,43
217.2,43
217.4,43
217.4,43
217.5,43
217.6,43
217.7,43
217.8,43
217.8,43
217.9,43
218,43
218.1,43
218.2,43
218.2,43
218.4,43
218.5,43
218.5,43
218.6,43
218.7,43
218.8,43
218.9,43
218.9,43
219.1,43
219.1,43
219.2,43
219.3,43
219.4,43
219.5,43
219.5,43
219.6,43
219.8,43
219.8,43
219.9,43
220,43
220.1,43
220.2,43
220.2,43
220.3,43
220.4,43
220.5,43
220.6,43
220.6,43
220.8,43
220.8,43
220.9,43
221,43
221.1,43
221.2,43
221.2,43
221.3,43
221.4,43
221.5,43
221.6,43
221.6,43
221.8,43
221.8,43
221.9,43
222,43
222.1,43
222.2,43
222.3,43
222.3,43
222.5,43
222.5,43
222.6,43
222.7,43
222.8,43
222.9,43
222.9,43
223,43
223.1,43
223.2,43
223.3,43
223.4,43
223.5,43
223.6,43
223.6,43
223.7,43
223.8,43
223.9,43
224,43
224,43
224.2,43
224.3,43
224.3,43
224.4,43
