comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 16.3 bar,
custom_variables:,
x_values,16.3
200,34
200.1,34
200.3,34
200.3,34
200.4,34
200.4,34
200.6,34
200.6,34
200.7,34
200.8,34
200.9,34
201,34
201,34
201.1,34
201.2,34
201.3,34
201.4,34
201.4,34
201.6,34
201.6,34
201.7,34
201.8,34
201.9,34
201.9,34
202,34
202.1,34
202.2,34
202.3,34
202.3,34
202.4,34
202.5,35
202.6,34
202.7,34
202.7,35
202.9,34
202.9,35
203,34
203.1,34
203.2,35
203.3,34
203.3,35
203.4,34
203.5,34
203.6,34
203.7,34
203.7,34
203.8,35
203.9,34
204,34
204,35
204.2,34
204.2,34
204.3,34
204.4,34
204.5,34
204.6,34
204.6,34
204.7,34
204.8,34
204.9,34
205,34
205,34
205.1,34
205.2,34
205.3,34
205.4,34
205.4,34
205.6,34
205.6,34
205.7,34
205.8,34
205.9,34
205.9,34
206,34
206.1,34
206.2,34
206.3,34
206.3,34
206.4,34
206.5,34
206.6,34
206.7,34
206.8,34
206.9,34
207,34
207,34
207.1,34
207.2,34
207.3,34
207.4,34
207.4,34
207.5,34
207.6,34
207.7,34
207.7,34
207.9,34
207.9,34
208,34
208.1,34
208.2,34
208.2,34
208.3,34
208.4,34
208.5,34
208.6,34
208.6,34
208.7,34
208.8,34
208.9,34
209,34
209,34
209.2,34
209.2,34
209.3,34
209.4,34
209.5,34
209.6,34
209.6,34
209.7,34
209.8,34
209.9,34
210,34
210,34
210.1,34
210.2,34
210.3,34
210.4,34
210.5,34
210.5,34
210.6,34
210.7,34
210.8,34
210.9,34
210.9,34
211,34
211.1,34
211.2,34
211.3,34
211.3,34
211.5,34
211.5,34
211.6,34
211.7,34
211.8,34
211.9,34
212,34
212,34
212.2,34
212.2,34
212.3,34
212.3,34
212.5,34
212.6,34
212.6,34
212.7,34
212.8,34
212.9,34
212.9,34
213,34
213.1,34
213.2,33
213.3,33
213.3,34
213.5,33
213.5,33
213.6,33
213.7,33
213.8,33
213.9,33
213.9,33
214,33
214.1,33
214.2,33
214.3,33
214.4,33
214.5,33
214.6,33
214.6,33
214.7,33
214.8,33
214.9,33
214.9,33
215,33
215.1,33
215.2,33
215.2,33
215.3,33
215.4,33
215.5,33
215.6,33
215.6,33
215.8,33
215.9,33
215.9,33
216,33
216.1,33
216.2,33
216.2,33
216.3,33
216.4,33
216.5,33
216.6,33
216.6,33
216.8,33
216.8,33
216.9,33
217,33
217.1,33
217.2,33
217.2,33
217.3,33
217.4,33
217.5,33
217.6,33
217.6,33
217.8,33
217.8,33
217.9,33
218,33
218.1,33
218.2,33
218.2,33
218.3,33
218.4,33
218.5,33
218.6,33
218.6,33
218.8,33
218.8,33
218.9,33
219,33
219.1,33
219.2,33
219.2,33
219.3,33
219.4,33
219.5,33
219.6,33
219.6,33
219.8,33
219.8,33
219.9,33
220,33
220.1,33
220.2,33
220.2,33
220.3,33
220.4,33
220.5,33
220.6,33
220.6,33
220.7,33
220.8,33
220.9,33
221,33
221,33
221.2,33
221.2,33
221.3,33
221.4,33
221.5,33
221.6,33
221.6,33
221.7,33
221.8,33
221.9,33
222,33
222,33
222.2,33
222.2,33
222.3,33
222.4,33
222.5,33
222.6,33
222.6,33
222.7,33
222.8,33
222.9,33
223,33
223,33
223.2,33
223.2,33
223.3,33
223.4,33
223.5,33
223.6,33
223.6,33
223.7,33
223.8,33
223.9,33
224,33
224,33
