comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 211.8 bar,
custom_variables:,
x_values,211.8
200,96
200.1,96
200.1,96
200.2,96
200.3,96
200.4,96
200.4,96
200.5,96
200.7,96
200.7,96
200.8,96
200.9,96
201,96
201.1,96
201.1,96
201.2,96
201.2,96
201.4,96
201.4,96
201.5,96
201.6,96
201.7,96
201.8,96
201.8,96
201.9,96
202,96
202.1,96
202.1,96
202.2,96
202.4,96
202.4,96
202.5,96
202.6,96
202.7,96
202.8,96
202.8,96
202.9,96
203,96
203.1,96
203.2,96
203.2,96
203.4,96
203.4,96
203.5,96
203.6,96
203.7,96
203.8,96
203.8,96
203.9,96
204,96
204.1,96
204.2,96
204.2,96
204.4,96
204.4,96
204.5,96
204.6,96
204.7,96
204.7,96
204.8,96
204.9,96
205,96
205.1,96
205.1,96
205.2,96
205.3,96
205.4,96
205.5,96
205.5,96
205.7,96
205.7,96
205.8,96
205.9,96
206,96
206.1,96
206.1,96
206.2,96
206.3,96
206.4,96
206.5,96
206.5,96
206.7,96
206.7,96
206.8,96
206.9,96
207,96
207.1,96
207.1,96
207.2,96
207.3,96
207.4,96
207.5,96
207.5,96
207.7,96
207.7,96
207.8,96
207.8,96
208,96
208,96
208.1,96
208.2,96
208.3,96
208.4,96
208.4,96
208.5,96
208.6,96
208.7,96
208.8,96
208.8,96
209,96
209,96
209.1,96
209.2,96
209.3,96
209.4,96
209.4,96
209.5,96
209.6,96
209.7,96
209.8,96
209.8,96
209.9,96
210,96
210.1,96
210.1,96
210.3,96
210.3,96
210.4,96
210.5,96
210.6,96
210.7,96
210.7,96
210.8,96
210.9,96
211,96
211.1,96
211.1,96
211.3,96
211.3,96
211.4,96
211.5,96
211.6,96
211.7,96
211.7,96
211.8,96
211.9,96
212,96
212.1,96
212.1,96
212.3,96
212.3,96
212.4,96
212.5,96
212.6,96
212.7,96
212.7,96
212.8,96
212.9,96
213,96
213.1,96
213.2,96
213.3,96
213.3,96
213.4,96
213.5,96
213.6,96
213.7,96
213.7,96
213.8,96
213.9,96
214,96
214.1,96
214.1,96
214.2,96
214.3,96
214.4,96
214.4,96
214.6,96
214.6,96
214.7,96
214.8,96
214.9,96
215,96
215,96
215.1,96
215.2,96
215.3,96
215.4,96
215.4,96
215.6,96
215.7,96
215.7,96
215.8,96
215.9,96
216,96
216,96
216.1,96
216.3,96
216.3,96
216.4,96
216.4,96
216.6,96
216.7,96
216.7,96
216.8,96
216.9,96
217,96
217,96
217.1,96
217.2,96
217.3,96
217.4,96
217.4,96
217.6,96
217.7,96
217.7,96
217.8,96
217.9,96
218,96
218.1,96
218.1,96
218.2,96
218.3,96
218.4,96
218.4,96
218.6,96
218.6,96
218.7,96
218.8,96
218.9,96
219,96
219,96
219.1,96
219.2,96
219.3,96
219.4,96
219.4,96
219.5,96
219.6,96
219.7,96
219.8,96
219.8,96
220,96
220,96
220.1,96
220.2,96
220.3,96
220.4,96
220.4,96
220.5,96
220.6,96
220.7,96
220.7,96
220.8,96
220.9,96
221,96
221.1,96
221.1,96
221.3,96
221.3,96
221.4,96
221.5,96
221.6,96
221.7,96
221.7,96
221.8,96
221.9,96
222,96
222,96
222.1,96
222.3,96
222.3,96
222.4,96
222.5,96
222.6,96
222.7,96
222.7,96
222.8,96
222.9,96
223,96
223.1,96
223.1,96
223.3,96
223.3,96
223.4,96
223.5,96
223.6,96
223.6,96
223.7,96
223.8,96
