comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 10.1 bar,
custom_variables:,
x_values,10.1
200,21
200.1,21
200.1,21
200.2,21
200.3,21
200.4,21
200.5,21
200.5,21
200.7,21
200.7,21
200.8,21
201,21
201,21
201.1,21
201.2,21
201.3,21
201.4,21
201.4,21
201.5,21
201.6,21
201.7,21
201.7,21
201.8,21
201.9,21
202,21
202.1,21
202.1,21
202.3,21
202.3,21
202.4,21
202.5,21
202.6,21
202.7,21
202.7,21
202.8,21
202.9,21
203,21
203.1,21
203.1,21
203.2,21
203.3,21
203.4,21
203.5,21
203.5,21
203.7,21
203.7,21
203.8,21
203.9,21
204,21
204.1,21
204.2,21
204.2,21
204.4,21
204.4,21
204.5,21
204.6,21
204.7,21
204.8,21
204.8,21
204.9,21
205,21
205.1,21
205.2,21
205.2,21
205.4,21
205.4,21
205.5,21
205.6,21
205.7,21
205.8,21
205.8,21
205.9,21
206,21
206.1,21
206.2,21
206.2,21
206.3,21
206.4,21
206.5,21
206.6,21
206.6,21
206.8,21
206.9,21
206.9,21
207,21
207.1,21
207.2,21
207.3,21
207.3,21
207.5,21
207.5,21
207.6,21
207.7,21
207.8,21
207.9,21
207.9,21
208,21
208.1,21
208.2,21
208.2,21
208.4,21
208.4,21
208.5,21
208.6,21
208.7,21
208.8,21
208.8,21
208.9,21
209,21
209.1,21
209.2,21
209.2,21
209.4,21
209.4,21
209.5,21
209.6,21
209.7,21
209.8,21
209.9,21
209.9,21
210.1,21
210.1,21
210.2,21
210.3,21
210.3,21
210.4,21
210.5,21
210.6,21
210.7,21
210.8,21
210.8,21
210.9,21
211.1,21
211.1,21
211.2,21
211.3,21
211.4,21
211.5,21
211.5,21
211.6,21
211.7,21
211.8,21
211.9,21
211.9,21
212.1,21
212.1,21
212.2,21
212.3,21
212.4,21
212.5,21
212.5,21
212.6,21
212.7,21
212.8,21
212.9,21
212.9,21
213,21
213.1,21
213.2,21
213.3,21
213.3,21
213.5,21
213.5,21
213.6,21
213.7,21
213.8,21
213.9,21
213.9,21
214,21
214.2,20
214.2,20
214.3,20
214.3,20
214.4,21
214.5,21
214.6,20
214.7,20
214.7,21
214.9,20
214.9,20
215,20
215.1,20
215.2,20
215.3,20
215.3,21
215.4,21
215.5,20
215.6,20
215.7,20
215.7,21
215.9,20
215.9,20
216,20
216.1,20
216.2,20
216.3,20
216.3,20
216.4,20
216.5,20
216.6,20
216.7,20
216.8,20
216.9,20
217,20
217,21
217.1,21
217.2,20
217.3,20
217.4,20
217.4,21
217.6,20
217.6,21
217.7,20
217.8,20
217.9,20
218,20
218,20
218.1,20
218.2,20
218.3,20
218.4,20
218.4,21
218.6,20
218.6,20
218.7,20
218.8,20
218.9,20
219,20
219,20
219.1,21
219.2,20
219.3,20
219.4,20
219.4,20
219.6,20
219.6,21
219.7,21
219.8,21
219.9,21
220,20
220.1,20
220.1,21
220.3,20
220.3,21
220.4,21
220.5,21
220.6,21
220.7,21
220.7,21
220.8,21
220.9,21
221,21
221,21
221.1,21
221.2,21
221.3,21
221.4,21
221.4,21
221.6,21
221.6,21
221.7,21
221.8,21
221.9,21
222,21
222,21
222.1,21
222.2,21
222.3,21
222.4,21
222.5,21
222.6,21
222.7,21
222.7,21
222.8,21
222.9,21
223,21
223.1,21
223.1,21
223.3,21
223.3,21
223.4,21
223.5,21
223.6,21
223.7,21
223.7,21
223.8,21
223.9,21
224,21
224.1,21
