comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 8.5 bar,
custom_variables:,
x_values,8.5
200,12
200.1,12
200.2,12
200.2,12
200.3,12
200.4,12
200.5,12
200.5,12
200.7,12
200.7,12
200.8,12
200.9,12
201,12
201,12
201.1,12
201.2,12
201.3,12
201.4,12
201.4,12
201.5,12
201.6,12
201.7,12
201.8,12
201.8,12
201.9,12
202,12
202.1,12
202.1,12
202.2,12
202.3,12
202.4,12
202.4,12
202.6,12
202.6,12
202.7,12
202.7,12
202.9,12
202.9,12
203,12
203.1,12
203.2,12
203.3,12
203.3,12
203.4,12
203.5,12
203.6,12
203.7,12
203.7,12
203.8,12
203.9,12
204,12
204,12
204.1,12
204.2,12
204.3,12
204.4,12
204.4,12
204.5,12
204.6,12
204.7,12
204.7,12
204.9,12
204.9,12
205,12
205.1,12
205.2,12
205.3,12
205.3,12
205.4,12
205.5,12
205.6,12
205.6,12
205.7,12
205.8,12
205.9,12
206,12
206,12
206.2,12
206.2,12
206.3,12
206.3,12
206.5,12
206.5,12
206.6,12
206.7,12
206.7,12
206.9,12
206.9,12
207,12
207.1,12
207.2,12
207.3,12
207.3,12
207.4,12
207.5,12
207.6,12
207.6,12
207.7,12
207.8,12
207.9,12
208,12
208,12
208.2,12
208.2,12
208.3,12
208.4,12
208.5,12
208.6,12
208.6,12
208.7,12
208.8,12
208.8,12
208.9,12
209,12
209.1,12
209.2,12
209.2,12
209.3,12
209.4,12
209.5,12
209.6,12
209.6,12
209.8,12
209.8,12
209.9,12
209.9,12
210.1,12
210.1,12
210.2,12
210.3,12
210.4,12
210.5,12
210.5,12
210.6,12
210.7,12
210.8,12
210.9,12
210.9,12
211.1,12
211.1,12
211.2,12
211.3,12
211.4,12
211.4,12
211.5,12
211.6,12
211.7,12
211.8,12
211.8,12
211.9,12
212,12
212.1,12
212.2,12
212.2,12
212.3,12
212.4,12
212.5,12
212.5,12
212.7,12
212.7,12
212.8,12
212.9,12
213,12
213.1,12
213.1,12
213.2,12
213.3,12
213.4,12
213.5,12
213.5,12
213.7,12
213.7,12
213.8,12
213.8,12
214,12
214,12
214.1,12
214.2,12
214.3,12
214.4,12
214.4,12
214.5,12
214.6,12
214.7,12
214.8,12
214.8,12
215,12
215,12
215.1,12
215.1,12
215.3,12
215.3,12
215.4,12
215.5,12
215.6,12
215.6,12
215.7,12
215.8,12
215.9,12
216,12
216,12
216.1,12
216.2,12
216.3,12
216.4,12
216.4,12
216.6,12
216.6,12
216.7,12
216.8,12
216.9,12
216.9,12
217,12
217.1,12
217.2,12
217.3,12
217.3,12
217.4,12
217.5,12
217.6,12
217.7,12
217.7,12
217.9,12
217.9,12
218,12
218.1,12
218.2,12
218.3,12
218.3,12
218.4,12
218.5,12
218.6,12
218.6,12
218.7,12
218.8,12
218.9,12
219,12
219,12
219.2,12
219.2,12
219.3,12
219.4,12
219.5,12
219.6,12
219.6,12
219.7,12
219.8,12
219.9,12
219.9,12
220,12
220.1,12
220.2,12
220.3,12
220.3,12
220.5,12
220.5,12
220.6,12
220.7,12
220.8,12
220.9,12
220.9,12
221,12
221.1,12
221.2,12
221.3,12
221.3,12
221.5,12
221.5,12
221.6,12
221.6,12
221.8,12
221.8,12
221.9,12
222,12
222,12
222.2,12
222.2,12
222.3,12
222.3,12
222.5,12
222.5,12
222.6,12
222.7,12
222.8,12
222.9,12
222.9,12
223,12
223.1,12
223.2,12
223.3,12
