comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 26.1 bar,
custom_variables:,
x_values,26.1
200,52
200.1,52
200.1,52
200.2,52
200.3,52
200.4,52
200.5,52
200.5,52
200.6,52
200.7,52
200.8,52
200.9,52
200.9,52
201,52
201.1,52
201.2,52
201.2,52
201.4,52
201.4,52
201.5,52
201.6,52
201.7,52
201.8,52
201.8,52
201.9,52
202,52
202.1,52
202.2,52
202.2,52
202.4,52
202.4,52
202.5,52
202.6,52
202.7,52
202.8,52
202.8,52
202.9,52
203,52
203.1,52
203.1,52
203.2,52
203.3,52
203.4,52
203.5,52
203.5,52
203.7,52
203.7,52
203.8,52
203.9,52
204,52
204.1,52
204.1,52
204.2,52
204.3,52
204.4,52
204.5,52
204.5,52
204.7,52
204.7,52
204.8,52
204.8,52
205,52
205.1,52
205.1,52
205.2,52
205.3,52
205.4,52
205.4,52
205.5,52
205.6,52
205.7,52
205.8,52
205.8,52
206,52
206,52
206.1,52
206.2,52
206.3,52
206.4,52
206.4,52
206.5,52
206.6,52
206.7,52
206.8,52
206.8,52
207,52
207,52
207.1,52
207.1,52
207.2,52
207.3,52
207.4,52
207.5,52
207.5,52
207.7,52
207.7,52
207.8,52
207.9,52
208,52
208.1,52
208.1,52
208.2,52
208.3,52
208.4,52
208.5,52
208.5,52
208.7,52
208.7,52
208.8,52
208.9,52
209,52
209.1,52
209.1,52
209.2,52
209.3,52
209.4,52
209.5,52
209.5,52
209.6,52
209.7,52
209.8,52
209.9,52
210,52
210.1,52
210.1,52
210.2,52
210.3,52
210.4,52
210.4,52
210.5,52
210.6,52
210.7,52
210.8,52
210.8,52
211,52
211,52
211.1,52
211.2,52
211.3,52
211.4,52
211.4,52
211.5,52
211.6,52
211.7,52
211.8,52
211.8,52
212,52
212,52
212.1,52
212.2,52
212.3,52
212.4,52
212.4,52
212.5,52
212.6,52
212.7,52
212.8,52
212.8,52
213,52
213,52
213.1,52
213.2,52
213.3,52
213.3,52
213.4,52
213.5,52
213.6,52
213.7,52
213.7,52
213.8,52
213.9,52
214,52
214.1,52
214.1,52
214.3,52
214.3,52
214.4,52
214.5,52
214.6,52
214.6,52
214.7,52
214.8,52
214.9,52
215,52
215.1,52
215.1,52
215.2,52
215.3,52
215.4,52
215.4,52
215.6,52
215.6,52
215.7,52
215.8,52
215.9,52
216,52
216,52
216.1,52
216.2,52
216.3,52
216.4,52
216.4,52
216.6,52
216.6,52
216.7,52
216.8,52
216.9,52
217,52
217,52
217.1,52
217.2,52
217.3,52
217.3,52
217.4,52
217.5,52
217.6,52
217.7,52
217.7,52
217.9,52
217.9,52
218,52
218.1,52
218.2,52
218.3,52
218.4,52
218.4,52
218.5,52
218.6,52
218.7,52
218.7,52
218.9,52
218.9,52
219,52
219.1,51
219.2,51
219.3,51
219.3,52
219.4,51
219.5,52
219.6,52
219.7,51
219.7,52
219.9,51
219.9,52
220,51
220,52
220.2,51
220.2,52
220.3,52
220.4,52
220.5,52
220.6,52
220.6,52
220.7,52
220.8,52
220.9,52
221,52
221,52
221.2,52
221.2,52
221.3,52
221.4,52
221.5,51
221.6,51
221.6,51
221.7,51
221.8,52
221.9,51
222,51
222,51
222.2,51
222.2,51
222.3,51
222.4,51
222.4,52
222.6,51
222.6,51
222.7,51
222.8,51
222.9,51
223,51
223,51
223.1,51
223.2,51
223.3,51
223.4,51
223.4,51
223.5,51
223.6,51
223.7,51
223.7,52
