comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 6.4 bar,
custom_variables:,
x_values,6.4
200.1,2
200.1,2
200.2,2
200.3,2
200.4,2
200.5,2
200.6,2
200.6,2
200.8,2
200.9,2
200.9,2
201,2
201.2,2
201.2,2
201.3,2
201.4,2
201.5,2
201.6,2
201.6,2
201.7,2
201.9,2
201.9,2
202,2
202.1,2
202.2,2
202.3,2
202.3,2
202.4,2
202.6,2
202.6,2
202.7,2
202.8,2
202.9,2
203,2
203.1,2
203.1,2
203.3,2
203.4,2
203.4,2
203.5,2
203.6,2
203.7,2
203.8,2
203.9,2
204,2
204.1,2
204.2,2
204.2,2
204.4,2
204.4,2
204.5,2
204.6,2
204.7,2
204.8,2
204.9,2
205,2
205.1,2
205.2,2
205.2,2
205.3,2
205.5,2
205.5,2
205.6,2
205.7,2
205.8,2
205.9,2
206,2
206,2
206.2,2
206.3,2
206.3,2
206.4,2
206.5,2
206.6,2
206.7,2
206.8,2
206.9,2
207,2
207,2
207.1,2
207.3,2
207.3,2
207.4,2
207.5,2
207.6,2
207.7,2
207.8,2
207.8,2
208,2
208.1,2
208.1,2
208.2,2
208.3,2
208.4,2
208.5,2
208.6,2
208.7,2
208.7,2
208.8,2
208.9,2
209,2
209.1,2
209.2,2
209.3,2
209.4,2
209.5,2
209.5,2
209.6,2
209.8,2
209.8,2
209.9,2
210,2
210.1,2
210.2,2
210.3,2
210.3,2
210.5,2
210.5,2
210.6,2
210.7,2
210.8,2
210.9,2
211,2
211.1,2
211.2,2
211.3,2
211.3,2
211.4,2
211.6,2
211.6,2
211.7,2
211.8,2
211.9,2
212,2
212.1,2
212.1,2
212.3,2
212.4,2
212.4,2
212.5,2
212.6,2
212.7,2
212.8,2
212.9,2
213,2
213.1,2
213.2,2
213.2,2
213.4,2
213.4,2
213.5,2
213.6,2
213.7,2
213.8,2
213.9,2
214,2
214.1,2
214.2,2
214.2,2
214.3,2
214.5,2
214.5,2
214.6,2
214.7,2
214.8,2
214.9,2
215,2
215,2
215.1,2
215.2,2
215.3,2
215.4,2
215.5,2
215.6,2
215.7,2
215.7,2
215.8,2
216,2
216,2
216.1,2
216.2,2
216.3,2
216.4,2
216.5,2
216.5,2
216.7,2
216.8,2
216.8,2
216.9,2
217,2
217.1,2
217.2,2
217.3,2
217.4,2
217.5,2
217.6,2
217.6,3
217.8,2
217.8,2
217.9,2
218,3
218.1,2
218.2,2
218.3,2
218.3,3
218.5,2
218.6,2
218.6,3
218.7,3
218.9,2
218.9,3
219,3
219.1,3
219.2,3
219.3,3
219.4,3
219.4,3
219.6,3
219.7,2
219.7,3
219.8,3
219.9,3
220,3
220.1,3
220.2,3
220.3,3
220.4,3
220.5,3
220.5,3
220.7,3
220.7,3
220.8,3
220.9,3
221,3
221.1,3
221.2,3
221.2,3
221.4,3
221.5,3
221.5,3
221.6,3
221.7,3
221.8,3
221.9,3
221.9,3
222.1,3
222.2,3
222.2,3
222.3,3
222.4,3
222.5,3
222.6,3
222.7,3
222.8,3
222.9,3
223,3
223,3
223.2,3
223.2,3
223.3,3
223.4,3
223.5,3
223.6,3
223.7,3
223.8,3
223.9,3
224,3
224,3
224.1,3
224.3,3
224.3,3
224.4,3
224.5,3
224.6,3
224.7,3
224.8,3
224.8,3
225,3
225.1,3
225.1,3
225.2,3
225.4,3
225.4,3
225.5,3
225.6,3
225.7,3
225.8,3
225.9,3
225.9,3
226.1,3
