comments: The data is from https://doi.org/10.1021/acs.nanolett.6b03221,,,,,,
DataType: DRIFTS__IR__Vibrational_Spectrum,,,,,,
Chart_label: IR Spectra of CO Adsorption at Room Temperature after Catalyst Oxidation at Different Temperatures,,,,,,
x_label: Wavenumbers (cm^-1),,,,,,
y_label: Absorbance (<a.u.>),,,,,,
"seriesnames: 295 K,423 K,473 K,523 K,573 K,673 K",,,,,,
x_values,y_1,y_2,y_3,y_4,y_5,y_6
2088.564,1.06E-04,0.00538,0.00762,0.00543,0.00143,0.03111
2090.492,1.92E-04,0.00624,0.00842,0.00582,0.00136,0.03049
2092.421,4.48E-04,0.00718,0.01008,0.00711,0.00281,0.03156
2094.349,9.10E-04,0.00798,0.01109,0.0079,0.00305,0.03088
2096.278,0.00171,0.00884,0.01309,0.00959,0.00498,0.03196
2098.206,0.00175,0.00954,0.01432,0.01071,0.00581,0.0314
2100.135,0.00148,0.01035,0.0164,0.01273,0.00814,0.03221
2102.063,9.52E-04,0.01088,0.01794,0.01435,0.0099,0.03191
2103.992,7.15E-04,0.01146,0.01993,0.01658,0.01272,0.03229
2105.92,1.03E-04,0.01189,0.02175,0.01897,0.0159,0.03276
2107.849,-5.34E-05,0.01215,0.02344,0.02151,0.01927,0.0329
2109.777,-1.80E-04,0.01231,0.02541,0.02448,0.0239,0.03421
2111.706,-2.20E-04,0.01226,0.02664,0.02703,0.02793,0.03449
2113.634,-9.28E-04,0.01225,0.02855,0.03044,0.03382,0.03679
2115.563,-0.00201,0.01183,0.02919,0.03277,0.03826,0.03752
2117.491,-0.00258,0.01141,0.03075,0.03622,0.045,0.04084
2119.42,-0.0027,0.01062,0.03088,0.03838,0.04984,0.04264
2121.348,-0.00304,0.00992,0.03171,0.04144,0.05696,0.04695
2123.277,-0.00336,0.00902,0.0311,0.04298,0.06199,0.04997
2125.205,-0.00356,0.00804,0.03102,0.0452,0.06885,0.05581
2127.134,-0.00358,0.0069,0.02975,0.04595,0.07361,0.06092
2129.062,-0.00413,0.00584,0.02885,0.04706,0.07957,0.06873
2130.991,-0.0046,0.00475,0.02697,0.04675,0.08349,0.07624
2132.919,-0.00471,0.00375,0.02521,0.04636,0.08775,0.08602
2134.848,-0.00463,0.00284,0.02306,0.04495,0.09011,0.09573
2136.776,-0.00474,0.00197,0.02082,0.043,0.09164,0.10654
2138.705,-0.00479,0.0012,0.01851,0.04031,0.09145,0.11677
2140.633,-0.00478,5.82E-04,0.01626,0.03707,0.08988,0.12679
2142.562,-0.0055,7.36E-05,0.01433,0.03381,0.08721,0.13652
2144.49,-0.00582,-2.40E-04,0.01224,0.02993,0.08172,0.14364
2146.419,-0.00518,-3.51E-04,0.01042,0.02612,0.07452,0.14853
2148.347,-0.00533,-3.81E-04,0.00913,0.02286,0.06709,0.15198
2150.276,-0.00567,-2.25E-04,0.00803,0.01995,0.0588,0.15116
2152.204,-0.00593,-6.24E-05,0.00733,0.01775,0.05116,0.14693
2154.133,-0.006,2.37E-04,0.00677,0.01594,0.04361,0.13703
2156.061,-0.00588,6.59E-04,0.00657,0.01477,0.03719,0.12468
2157.99,-0.00592,0.00117,0.00645,0.01383,0.0314,0.10962
2159.918,-0.00597,0.00159,0.00658,0.01331,0.02701,0.09483
2161.847,-0.00569,0.00168,0.00658,0.01279,0.02329,0.07989
2163.775,-0.00529,0.00157,0.00673,0.0125,0.02076,0.06745
2165.704,-0.00591,0.00136,0.00691,0.01224,0.01865,0.0574
2167.632,-0.00681,0.00125,0.00742,0.01234,0.0174,0.05107
2169.561,-0.00676,0.00144,0.00825,0.01284,0.01672,0.04798
2171.489,-0.00693,0.00205,0.00964,0.01419,0.01741,0.04832
2173.418,-0.00668,0.00314,0.01187,0.0167,0.01962,0.05106
2175.346,-0.00625,0.00446,0.01514,0.0207,0.02399,0.05646
2177.275,-0.00606,0.00564,0.0193,0.02617,0.03061,0.06466
2179.203,-0.00611,0.00613,0.02423,0.03313,0.04006,0.07697
2181.132,-0.00628,0.00551,0.02959,0.04158,0.05227,0.0943
2183.06,-0.00668,0.00335,0.03288,0.04947,0.0651,0.11631
2184.989,-0.00718,5.22E-04,0.03037,0.05169,0.0725,0.13734
2186.917,-0.00706,-0.00159,0.02045,0.04161,0.06419,0.14592
2188.846,-0.00666,-0.00264,0.00941,0.02389,0.04089,0.13299
2190.774,-0.0068,-0.00296,0.00318,0.01039,0.0185,0.10684
2192.703,-0.0072,-0.0031,9.18E-04,0.00468,0.00696,0.08469
2194.631,-0.00708,-0.00318,1.95E-04,0.00264,0.00191,0.06849
2196.56,-0.00701,-0.00328,-1.15E-04,0.00179,-5.49E-04,0.05619
2198.488,-0.00692,-0.00328,-1.46E-04,0.00146,-0.00168,0.04648
2200.417,-0.00625,-0.00323,-1.28E-04,0.0013,-0.00214,0.03971
2202.345,-0.00625,-0.00321,-8.80E-05,0.00119,-0.00247,0.03536
2204.274,-0.00632,-0.00322,-7.67E-05,0.00121,-0.00264,0.03275
2206.202,-0.00619,-0.00323,-7.07E-06,0.00128,-0.00258,0.03124
2208.131,-0.00632,-0.00326,2.01E-06,0.00126,-0.00255,0.03044
2210.059,-0.00618,-0.00324,1.33E-04,0.00134,-0.0025,0.03011
2211.988,-0.0068,-0.00328,1.33E-04,0.00136,-0.00246,0.02996
2213.916,-0.00723,-0.00328,1.97E-04,0.00142,-0.00235,0.02992
2215.845,-0.00677,-0.00324,3.03E-04,0.00152,-0.00213,0.03007
2217.773,-0.00652,-0.00323,4.44E-04,0.00168,-0.00194,0.03032
2219.702,-0.0065,-0.00322,5.56E-04,0.00184,-0.00174,0.03072
2221.63,-0.00598,-0.00323,6.32E-04,0.00196,-0.00148,0.03109
2223.559,-0.00656,-0.0033,5.80E-04,0.00198,-0.00136,0.03143
2225.487,-0.00718,-0.00331,4.76E-04,0.0019,-0.00139,0.03165
2227.416,-0.0072,-0.00338,2.80E-04,0.00167,-0.00168,0.03154
2229.344,-0.00685,-0.00343,2.15E-04,0.00152,-0.00194,0.03122
2231.273,-0.00649,-0.00339,2.31E-04,0.00149,-0.00211,0.03093
2233.201,-0.00621,-0.00331,2.77E-04,0.00149,-0.00221,0.03069
2235.13,-0.00643,-0.00327,2.56E-04,0.0015,-0.00227,0.03056
2237.058,-0.00636,-0.00333,2.54E-04,0.00146,-0.0023,0.03041
2238.987,-0.00622,-0.00343,1.77E-04,0.00135,-0.00239,0.0302
2240.915,-0.00683,-0.00347,1.70E-04,0.00129,-0.00247,0.03005
2242.844,-0.00705,-0.00347,2.20E-04,0.0013,-0.00247,0.03004
2244.772,-0.00693,-0.00341,2.02E-04,0.00133,-0.00248,0.02997
2246.701,-0.00715,-0.0034,1.37E-04,0.00125,-0.00257,0.02985
2248.629,-0.00726,-0.00339,1.76E-04,0.00124,-0.00258,0.02979
2250.558,-0.00707,-0.00338,1.57E-04,0.00123,-0.00258,0.02977
2252.486,-0.00716,-0.00343,7.99E-05,0.00118,-0.0026,0.02968
2254.415,-0.00728,-0.00347,5.21E-05,0.00117,-0.00264,0.02964
2256.343,-0.00696,-0.00341,1.10E-04,0.00126,-0.00258,0.02972
2258.272,-0.00623,-0.00338,1.49E-04,0.00131,-0.00252,0.02977
2260.2,-0.00638,-0.00339,1.72E-04,0.00131,-0.00258,0.02974
2262.129,-0.00766,-0.00346,9.41E-05,0.00122,-0.00268,0.02967
2264.057,-0.00848,-0.00351,3.40E-05,0.00115,-0.00273,0.02961
2265.986,-0.00788,-0.00345,3.83E-05,0.00123,-0.00271,0.02971
2267.914,-0.00769,-0.00345,2.91E-05,0.00123,-0.00272,0.02971
2269.843,-0.00821,-0.00352,-4.29E-05,0.00112,-0.00277,0.02959
2271.771,-0.00757,-0.00349,1.44E-06,0.00112,-0.00273,0.0296
2273.7,-0.00662,-0.0034,8.50E-05,0.00122,-0.00268,0.02973
2275.628,-0.00654,-0.00337,1.49E-04,0.00125,-0.00271,0.02976
2277.557,-0.00829,-0.00346,4.60E-05,0.00114,-0.00283,0.02963
2279.485,-0.00916,-0.00348,-3.00E-05,0.00112,-0.00283,0.02956
2281.414,-0.00831,-0.00347,-3.31E-05,0.0011,-0.00285,0.02959
2283.342,-0.00793,-0.00352,-3.01E-05,0.00113,-0.00281,0.02964
2285.271,-0.00821,-0.00357,-8.74E-05,0.00112,-0.00287,0.02957
2287.199,-0.00826,-0.00355,-7.45E-05,0.0011,-0.00288,0.02949
2289.128,-0.00873,-0.00353,-5.64E-05,0.00115,-0.00284,0.02952
2291.056,-0.00865,-0.00351,-6.01E-05,0.00121,-0.00285,0.02955
2292.985,-0.0086,-0.00353,-1.07E-04,0.00111,-0.00289,0.02949
2294.913,-0.00843,-0.00353,-6.23E-05,0.00109,-0.00288,0.02949
2296.842,-0.00884,-0.00356,-7.42E-05,0.00106,-0.00292,0.02949
2298.77,-0.00896,-0.00359,-8.28E-05,0.00102,-0.00294,0.02948
2300.699,-0.00855,-0.00358,-1.32E-04,9.94E-04,-0.00294,0.02949
2302.627,-0.00885,-0.0036,-1.53E-04,0.00101,-0.00293,0.02946
2304.556,-0.00931,-0.00361,-1.79E-04,0.00102,-0.00297,0.02942
2306.484,-0.00932,-0.00364,-1.31E-04,0.00106,-0.00298,0.02944
2308.413,-0.00923,-0.00364,-1.30E-04,0.00105,-0.00298,0.02944
2310.341,-0.00961,-0.00366,-1.70E-04,9.52E-04,-0.00298,0.0294
2312.27,-0.00948,-0.00368,-1.72E-04,9.25E-04,-0.00298,0.02943
2314.198,-0.00927,-0.00367,-1.93E-04,9.54E-04,-0.00302,0.02942
2316.127,-0.00931,-0.00367,-2.22E-04,9.86E-04,-0.00305,0.02942
2318.055,-0.00902,-0.00362,-1.19E-04,0.00106,-0.00294,0.02953
2319.984,-0.00945,-0.00366,-1.10E-04,0.00105,-0.00292,0.02954
2321.912,-0.00986,-0.00371,-1.79E-04,9.91E-04,-0.00298,0.02952
2323.841,-0.00988,-0.00372,-2.07E-04,9.67E-04,-0.00295,0.02953
2325.769,-0.00987,-0.00368,-1.58E-04,0.001,-0.00287,0.02958
2327.698,-0.00958,-0.00363,-6.92E-05,0.00107,-0.00276,0.02972
2329.626,-0.00901,-0.00363,-1.53E-05,0.0012,-0.00265,0.02985
2331.555,-0.00899,-0.00365,-3.36E-05,0.00117,-0.00262,0.02988
2333.483,-0.00947,-0.00368,-4.91E-05,0.00109,-0.00259,0.02994
2335.412,-0.00967,-0.00374,-1.31E-04,0.00108,-0.00253,0.03001
2337.34,-0.00984,-0.0037,-1.41E-04,0.00116,-0.00237,0.03021
2339.269,-0.0102,-0.00371,-1.44E-04,0.00119,-0.00223,0.03047
2341.197,-0.01003,-0.0037,-1.53E-04,0.00126,-0.00208,0.03078
2343.126,-0.01076,-0.00372,-1.78E-04,0.00132,-0.00195,0.03121
