"comments: Synthetic data used to train KINNs model, and resulting model predictions. Data taken from Fig. 5 of 10.1016/j.cattod.2022.04.002.",,,,,,,,,,,,,,,,,,,,
DataType: Simulated transient kinetic data,,,,,,,,,,,,,,,,,,,,
Chart_label: Simulated transient concentrations and resulting KINNs fit.,,,,,,,,,,,,,,,,,,,,
x_label: time (a.u.),,,,,,,,,,,,,,,,,,,,
y_label: Concentration (a.u.) or coverage fraction,,,,,,,,,,,,,,,,,,,,
"series_names: A(g) simulated, B(g) simulated, C(g) simulated, A(g) predicted, B(g) predicted, C(g) predicted, A* predicted, B* predicted, C* predicted, D* predicted, E* predicted, F* predicted, * predicted, A* simulated, B* simulated, C* simulated, D* simulated, E* simulated, F* simulated, * simulated",,,,,,,,,,,,,,,,,,,,
custom_variables:,,,,,,,,,,,,,,,,,,,,
time,AgasData,BgasData,CgasData,AgasPred,BgasPred,CgasPred,AadsPred,BadsPred,CadsPred,DadsPred,EadsPred,FadsPred,OpenSitePred,AadsData,BadsData,CadsData,DadsData,EadsData,FadsData,OpenSiteData
0,0.606917384,0.395216603,-0.0356025,0.596741973,0.395332431,-0.000792297,0.011103134,0.00683097,0.005188279,0.003656922,0.002002723,0.003432028,0.967785943,0.005779367,-0.054521327,0.016834764,-0.018837874,-0.014192217,-0.034693015,0.964286647
0.01,0.571042517,0.372760965,-0.029450529,0.579067137,0.382440767,-0.000527782,0.024339654,0.017232074,0.004010716,0.014233392,0.009710017,0.003247529,0.927226618,0.005271125,0.026198323,0.017153046,0.022969715,-0.025872968,0.037713369,0.935718958
0.02,0.523520373,0.368903482,0.011182726,0.562235312,0.370245628,-0.000271995,0.033701485,0.024598314,0.003137949,0.02973045,0.020588028,0.003161474,0.8850823,0.007779693,0.036520329,-0.00421579,0.033863359,0.050196401,-0.012313346,0.879031881
0.03,0.606105194,0.371173269,0.034410123,0.546301264,0.358761036,-6.78E-05,0.041026925,0.030122225,0.002496823,0.046949656,0.033147868,0.003573276,0.842683226,0.021583619,0.007741754,-0.031632397,0.064286492,0.032748854,0.009898695,0.869504316
0.04,0.501697676,0.355984976,-0.018252826,0.53121504,0.347935585,8.42E-05,0.0473815,0.034227717,0.002082586,0.06358516,0.046212152,0.004760716,0.801750168,0.011348974,-0.015234099,0.036695343,0.054635466,0.041750934,0.032676812,0.781929879
0.05,0.546322333,0.331045628,-0.007130987,0.516893212,0.337695808,0.000217636,0.053320392,0.03716175,0.001920966,0.078326187,0.05887772,0.006875169,0.763517816,0.020883065,0.02625565,-0.028347839,0.104976344,0.05914066,-0.045481318,0.76771009
0.06,0.474767549,0.319203062,0.00812377,0.50328798,0.327995937,0.000364886,0.059148508,0.039258318,0.002039847,0.090611905,0.070552706,0.00990505,0.728483666,0.04397232,0.073427674,0.026340791,0.154173063,0.040222613,0.017063757,0.727224944
0.07,0.510166274,0.343094396,-0.028962826,0.490350083,0.318793758,0.000551598,0.064972587,0.040808412,0.002472829,0.100435932,0.080924287,0.013686531,0.696699422,0.027322793,0.010655869,0.047783479,0.071542422,0.085407466,0.014411798,0.746140388
0.08,0.504222415,0.309213667,0.017804421,0.478012018,0.310033967,0.000800357,0.070777442,0.041996108,0.00326139,0.108124107,0.089883449,0.017982829,0.667974677,0.037027637,0.030221216,0.000123494,0.118035854,0.087772251,0.026581135,0.661775292
0.09,0.484274328,0.282731753,-0.016788171,0.466202378,0.301655134,0.001132974,0.076498685,0.042919217,0.004440581,0.11412362,0.097444417,0.022559621,0.64201386,0.06224121,0.015890422,0.003030924,0.131960538,0.117094687,0.005503468,0.673077059
0.1,0.510898038,0.346241464,0.000266935,0.454861632,0.293601976,0.001571639,0.082066252,0.043626965,0.006022157,0.118863137,0.103685887,0.027223013,0.618512588,0.046452622,0.051344396,-0.012582768,0.131240582,0.075159412,0.02036419,0.621100573
0.11,0.415815184,0.297286693,-0.020177266,0.443947645,0.285831925,0.002139621,0.087423856,0.044146322,0.007988034,0.122689763,0.108717688,0.031829488,0.597204849,0.045529837,0.055992887,-0.008981969,0.158553591,0.124548459,0.05179744,0.577928126
0.12,0.443737962,0.272345315,0.014533789,0.433433056,0.278315255,0.002861755,0.092535024,0.044495531,0.010294353,0.125857954,0.112664073,0.036282385,0.57787068,0.042235765,0.051912653,-0.009829736,0.181985007,0.080770306,-0.020801038,0.570961555
0.13,0.413561393,0.283897814,0.021506925,0.42329941,0.271031722,0.003764558,0.097382681,0.044689795,0.012880513,0.128543725,0.115654816,0.040523101,0.56032537,0.061371813,0.081915339,-0.002939239,0.165192048,0.061755672,0.059186558,0.624349273
0.14,0.41938259,0.268324731,0.01011448,0.413531512,0.263966446,0.00487574,0.101965868,0.044743197,0.015678298,0.130866193,0.11781924,0.044520961,0.544406244,0.075216932,0.042072164,0.043264039,0.158677985,0.096502246,0.069524269,0.564654594
0.15,0.392753907,0.218345572,0.014250588,0.404113599,0.257106612,0.006222984,0.106295468,0.044669112,0.018618811,0.132907183,0.119281497,0.04826393,0.529963999,0.061696749,0.066712929,0.018592341,0.118167527,0.094005605,0.050131352,0.554935931
0.16,0.384111951,0.282033564,0.005703681,0.395027589,0.250439456,0.007832214,0.11038992,0.044480156,0.021636894,0.134725623,0.12015684,0.051751231,0.516859336,0.02478293,0.046737622,0.045101613,0.160324929,0.064892491,0.084870875,0.577436926
0.17,0.364583543,0.217354599,0.019899992,0.386252944,0.243951408,0.009725681,0.114271485,0.044188066,0.024673524,0.136366633,0.120549042,0.054988172,0.504963078,0.034391916,0.034356853,0.033267255,0.136031926,0.096976641,0.071804376,0.519535998
0.18,0.354839736,0.280033123,-0.014971211,0.377767448,0.237628004,0.011920281,0.11796329,0.043803644,0.027676912,0.137866568,0.120549001,0.057982936,0.494157648,0.054898792,0.044536276,0.028697818,0.166080023,0.12384222,0.044530919,0.562751035
0.19,0.342480709,0.186720005,0.008818248,0.369548315,0.2314542,0.014426368,0.121487238,0.043336759,0.030602856,0.139255515,0.120234412,0.060744842,0.484338378,0.067154383,0.053817105,0.001601314,0.169032275,0.103653733,0.035671763,0.51306145
0.2,0.357115636,0.179361988,0.020157127,0.36157322,0.22541478,0.017247212,0.124862711,0.042796396,0.033414703,0.140558416,0.119670292,0.06328357,0.475413912,0.071203322,0.077095083,0.025261387,0.149577834,0.099894133,0.079147288,0.539984329
